"X" "untreated1" "untreated2" "untreated3" "untreated4" "treated1" "treated2" "treated3"
"4204" "FBgn0031041" 0 0 0 0 0 0 0
"4205" "FBgn0031042" 96 96 41 46 64 43 48
"4206" "FBgn0031043" 606 1107 294 336 872 325 402
"4207" "FBgn0031044" 548 757 302 356 623 307 354
"4208" "FBgn0031045" 86 103 53 56 80 47 43
"4209" "FBgn0031047" 1528 2398 882 1061 2381 1413 1652
"4210" "FBgn0031048" 944 1234 532 666 1375 897 993
"4211" "FBgn0031049" 611 575 163 264 1254 398 400
"4212" "FBgn0031050" 531 738 302 425 661 380 429
"4213" "FBgn0031051" 2040 2890 1394 1413 2612 1669 1720
"4214" "FBgn0031052" 2054 2859 1263 1282 2703 1588 1611
"4215" "FBgn0031053" 412 489 268 259 428 347 430
"4216" "FBgn0031054" 654 1018 362 384 792 394 443
"4217" "FBgn0031055" 4006 4830 2267 2850 2971 1851 2220
"4218" "FBgn0031057" 4099 7392 2711 2744 6509 2763 2821
"4219" "FBgn0031058" 101 172 68 81 139 68 88
"4220" "FBgn0031059" 139 297 48 99 260 108 135
"4221" "FBgn0031060" 351 481 261 249 376 315 289
"4222" "FBgn0031061" 516 953 400 480 637 488 547
"4223" "FBgn0031062" 502 891 316 401 670 330 382
"4224" "FBgn0031064" 0 2 0 1 2 0 2
"4225" "FBgn0031065" 2 7 4 4 6 2 5
"4226" "FBgn0031066" 2958 6178 1410 1919 4535 2093 2358
"4227" "FBgn0031068" 349 805 250 284 703 369 464
"4228" "FBgn0031069" 3594 3840 1712 2019 3688 2267 2493
"4229" "FBgn0031070" 818 899 468 510 1232 825 854
"4230" "FBgn0031074" 13 13 14 11 9 9 13
"4231" "FBgn0031077" 1654 1699 950 1046 1674 1267 1206
"4232" "FBgn0031078" 7146 7067 3701 3942 7018 4920 5049
"4233" "FBgn0031079" 3426 5553 2730 2472 6108 3846 3814
"4234" "FBgn0031080" 843 1109 715 883 1136 865 1118
"4235" "FBgn0031081" 9 27 10 14 22 8 9
"4236" "FBgn0031082" 0 0 1 0 4 0 1
"4237" "FBgn0031085" 0 2 0 0 4 1 0
"4238" "FBgn0031086" 8 7 3 3 6 8 7
"4239" "FBgn0031088" 3 9 5 6 7 12 0
"4240" "FBgn0031089" 253 282 202 207 188 185 186
"4241" "FBgn0031090" 2119 4374 1245 1368 3279 1437 1533
"4242" "FBgn0031091" 702 710 353 397 787 521 456
"4243" "FBgn0031092" 597 914 347 402 778 424 412
"4244" "FBgn0031093" 458 628 271 319 553 376 378
"4245" "FBgn0031094" 220 313 118 148 310 181 204
"4246" "FBgn0031097" 114 170 78 90 98 57 67
"4247" "FBgn0031098" 584 598 298 389 585 371 365
"4248" "FBgn0031099" 52 90 30 38 75 49 50
"4249" "FBgn0031100" 1 0 0 0 0 0 0
"4250" "FBgn0031101" 0 0 0 0 0 0 0
"4251" "FBgn0031103" 0 0 0 0 0 0 0
"4252" "FBgn0031104" 2 1 0 0 1 1 0
"4253" "FBgn0031106" 493 714 339 421 498 381 451
"4254" "FBgn0031107" 2973 4031 2179 1968 3866 2833 2569
"4255" "FBgn0031108" 6 2 2 1 4 2 1
"4256" "FBgn0031109" 0 0 0 0 0 0 0
"4257" "FBgn0031110" 0 0 1 0 0 1 0
"4258" "FBgn0031111" 3 4 3 1 4 1 3
"4259" "FBgn0031114" 867 1830 642 770 1573 855 955
"4260" "FBgn0031115" 504 797 330 363 757 397 477
"4261" "FBgn0031116" 22 36 16 22 28 15 19
"4262" "FBgn0031117" 260 350 144 196 602 355 454
"4263" "FBgn0031118" 2373 4567 2122 1914 3164 2054 2184
"4264" "FBgn0031119" 286 401 167 160 454 203 247
"4265" "FBgn0031126" 446 737 269 300 503 209 240
"4266" "FBgn0031127" 14 18 13 10 6 4 4
"4267" "FBgn0031128" 10 20 8 3 14 7 5
"4268" "FBgn0031129" 0 0 0 0 0 0 0
"4269" "FBgn0031130" 0 0 0 0 0 0 0
"4270" "FBgn0031132" 0 0 0 0 0 0 0
"4271" "FBgn0031134" 0 0 0 0 0 0 0
"4272" "FBgn0031135" 0 2 0 0 0 0 0
"4273" "FBgn0031138" 0 0 0 0 0 0 0
"4274" "FBgn0031139" 0 0 0 0 0 0 0
"4275" "FBgn0031140" 0 0 0 1 1 0 0
"4276" "FBgn0031141" 0 0 0 0 0 0 0
"4277" "FBgn0031142" 30 79 29 27 74 30 52
"4278" "FBgn0031143" 655 1027 306 499 1109 551 660
"4279" "FBgn0031144" 843 1508 516 536 1350 573 718
"4280" "FBgn0031145" 2112 4420 969 1306 3285 1183 1369
"4281" "FBgn0031146" 84 164 51 65 188 68 81
"4282" "FBgn0031148" 2752 3344 1461 1935 4131 2769 3251
"4283" "FBgn0031149" 5818 7295 2960 3482 7601 4093 4458
"4284" "FBgn0031150" 635 1042 306 338 2351 778 873
"4285" "FBgn0031155" 11 12 6 11 11 7 12
"4286" "FBgn0031157" 350 621 214 269 594 343 345
"4287" "FBgn0031159" 0 0 0 0 0 0 0
"4288" "FBgn0031161" 713 1050 395 450 1165 513 574
"4289" "FBgn0031163" 0 1 0 0 0 0 0
"4290" "FBgn0031164" 1 6 3 1 6 6 3
"4291" "FBgn0031168" 1 46 10 14 34 6 2
"4292" "FBgn0031169" 2514 3434 1425 1543 3319 1624 1729
"4293" "FBgn0031170" 1105 1977 738 731 1349 626 618
"4294" "FBgn0031171" 5 11 2 6 4 5 5
"4295" "FBgn0031174" 2019 3286 1447 1623 2712 1531 1675
"4296" "FBgn0031176" 0 0 0 1 0 0 0
"4297" "FBgn0031178" 0 1 1 0 0 0 0
"4298" "FBgn0031181" 5 2 2 4 6 3 4
"4299" "FBgn0031182" 19 19 9 13 37 4 15
"4300" "FBgn0031183" 601 746 303 357 548 296 325
"4301" "FBgn0031184" 78 141 43 57 151 73 92
"4302" "FBgn0031186" 1777 3044 992 1137 2550 1028 1152
"4303" "FBgn0031187" 2817 4453 1902 1897 4040 2220 2379
"4304" "FBgn0031188" 455 742 245 296 610 267 354
"4305" "FBgn0031189" 155 262 97 112 215 117 141
"4306" "FBgn0031190" 1745 2722 1068 1145 2295 1084 1156
"4307" "FBgn0031191" 510 736 280 305 644 331 292
"4308" "FBgn0031194" 843 1399 550 600 1229 567 642
"4309" "FBgn0031195" 193 257 123 128 264 160 155
"4310" "FBgn0031196" 15 40 15 21 39 24 18
"4311" "FBgn0031197" 1 3 2 2 5 1 1
"4312" "FBgn0031201" 59 103 35 45 85 36 42
"4313" "FBgn0031208" 0 5 4 1 11 2 2
"4314" "FBgn0031209" 2 2 1 0 2 0 2
"4315" "FBgn0031213" 970 1224 522 551 1621 492 528
"4316" "FBgn0031214" 11 16 6 2 19 7 5
"4317" "FBgn0031216" 964 1476 449 398 1617 399 389
"4318" "FBgn0031217" 1139 1208 436 654 1235 602 747
"4319" "FBgn0031219" 25 72 36 17 45 26 20
"4320" "FBgn0031220" 2825 4796 1534 1635 5963 2056 2076
"4321" "FBgn0031224" 363 656 182 254 567 270 282
"4322" "FBgn0031227" 165 232 53 69 234 64 52
"4323" "FBgn0031228" 478 833 254 369 766 342 377
"4324" "FBgn0031229" 546 871 244 317 832 255 309
"4325" "FBgn0031231" 251 316 88 159 345 154 176
"4326" "FBgn0031232" 3 11 3 4 11 7 2
"4327" "FBgn0031233" 318 591 202 203 521 197 189
"4328" "FBgn0031235" 3 8 2 3 4 0 3
"4329" "FBgn0031238" 258 450 143 183 379 202 227
"4330" "FBgn0031239" 9 23 9 9 22 12 3
"4331" "FBgn0031240" 8 8 4 4 8 8 6
"4332" "FBgn0031244" 239 279 116 159 277 148 166
"4333" "FBgn0031245" 163 256 93 140 423 177 204
"4334" "FBgn0031247" 117 265 66 99 295 116 132
"4335" "FBgn0031248" 1 4 2 1 1 3 3
"4336" "FBgn0031249" 0 1 1 2 2 1 1
"4337" "FBgn0031250" 590 810 328 364 798 344 339
"4338" "FBgn0031251" 1 13 2 8 11 4 7
"4339" "FBgn0031252" 477 897 252 282 694 273 298
"4340" "FBgn0031253" 270 287 83 135 336 138 134
"4341" "FBgn0031254" 77 182 53 62 141 45 51
"4342" "FBgn0031255" 33 65 33 30 30 18 25
"4343" "FBgn0031256" 1554 2095 955 1221 2184 1137 1355
"4344" "FBgn0031257" 1290 2434 978 1019 2137 1222 1256
"4345" "FBgn0031258" 143 289 121 81 109 41 43
"4346" "FBgn0031260" 2853 3395 1376 1756 3298 1887 2016
"4347" "FBgn0031261" 3235 4771 2295 2860 2434 1814 2092
"4348" "FBgn0031263" 1334 2467 856 1105 2852 1243 1454
"4349" "FBgn0031264" 5 15 5 9 6 4 5
"4350" "FBgn0031265" 507 911 285 352 818 356 393
"4351" "FBgn0031266" 1642 2496 988 1029 2179 1057 1063
"4352" "FBgn0031267" 632 842 314 423 731 337 374
"4353" "FBgn0031268" 124 156 65 64 318 111 135
"4354" "FBgn0031270" 46 90 12 23 82 14 28
"4355" "FBgn0031273" 0 0 0 1 0 0 1
"4356" "FBgn0031275" 2 4 1 1 4 1 0
"4357" "FBgn0031276" 0 0 0 0 1 0 0
"4358" "FBgn0031277" 0 0 0 0 0 0 0
"4359" "FBgn0031279" 2 1 0 0 0 0 0
"4360" "FBgn0031281" 208 325 111 131 295 146 189
"4361" "FBgn0031282" 170 233 72 115 206 89 99
"4362" "FBgn0031283" 10 17 5 8 15 3 6
"4363" "FBgn0031284" 216 314 83 125 355 121 138
"4364" "FBgn0031285" 3964 6451 2328 3024 4050 2171 2333
"4365" "FBgn0031286" 301 557 215 253 450 268 282
"4366" "FBgn0031287" 249 455 142 196 333 176 210
"4367" "FBgn0031288" 3 6 0 5 2 2 1
"4368" "FBgn0031289" 3 7 4 2 4 3 3
"4369" "FBgn0031292" 13 31 12 9 29 13 13
"4370" "FBgn0031294" 1 3 2 3 2 1 0
"4371" "FBgn0031295" 0 0 0 0 0 0 0
"4372" "FBgn0031296" 13 30 14 13 25 17 22
"4373" "FBgn0031298" 930 1620 641 745 1469 753 886
"4374" "FBgn0031299" 83 126 58 73 114 64 67
"4375" "FBgn0031300" 1128 1783 672 790 1634 833 878
"4376" "FBgn0031301" 8 7 3 3 3 3 5
"4377" "FBgn0031302" 65 114 38 45 177 47 55
"4378" "FBgn0031304" 1815 2860 1186 1430 1959 1169 1374
"4379" "FBgn0031305" 0 0 1 1 1 1 1
"4380" "FBgn0031306" 1 3 1 6 5 1 2
"4381" "FBgn0031307" 1078 2365 1004 1214 3355 1879 2174
"4382" "FBgn0031308" 274 399 130 195 336 185 210
"4383" "FBgn0031309" 432 803 291 317 532 322 436
"4384" "FBgn0031310" 901 1601 507 625 1276 689 819
"4385" "FBgn0031312" 1475 2037 912 1158 1740 1151 1302
"4386" "FBgn0031313" 1958 2453 1247 1472 1531 897 971
"4387" "FBgn0031314" 444 692 240 335 573 318 345
"4388" "FBgn0031315" 197 451 101 169 406 156 167
"4389" "FBgn0031317" 598 1477 423 546 1226 552 658
"4390" "FBgn0031318" 1404 2555 987 1088 2118 1154 1355
"4391" "FBgn0031319" 729 989 447 507 1074 536 568
"4392" "FBgn0031320" 284 288 121 135 293 176 167
"4393" "FBgn0031321" 323 416 203 233 331 196 241
"4394" "FBgn0031322" 547 950 341 472 246 153 219
"4395" "FBgn0031323" 1 0 2 0 1 0 0
"4396" "FBgn0031324" 0 0 0 0 0 0 0
"4397" "FBgn0031327" 384 829 358 433 1796 894 912
"4398" "FBgn0031331" 0 0 0 0 0 0 0
"4399" "FBgn0031332" 0 0 0 0 0 0 0
"4400" "FBgn0031333" 0 0 0 0 0 0 0
"4401" "FBgn0031335" 0 0 1 0 0 0 0
"4402" "FBgn0031337" 0 1 0 1 1 0 1
"4403" "FBgn0031343" 3 11 0 2 7 2 2
"4404" "FBgn0031344" 221 332 151 167 284 145 153
"4405" "FBgn0031345" 0 0 0 0 1 0 0
"4406" "FBgn0031347" 1 6 2 2 4 3 2
"4407" "FBgn0031351" 102 136 37 62 195 66 59
"4408" "FBgn0031356" 1668 1996 834 996 1814 1038 1087
"4409" "FBgn0031357" 303 400 152 227 341 219 242
"4410" "FBgn0031359" 648 1114 524 559 536 305 340
"4411" "FBgn0031360" 867 819 371 518 1044 527 649
"4412" "FBgn0031361" 122 236 59 74 170 85 83
"4413" "FBgn0031362" 240 366 203 211 466 211 286
"4414" "FBgn0031364" 1 5 1 0 1 0 0
"4415" "FBgn0031365" 3 5 0 2 5 0 0
"4416" "FBgn0031367" 0 0 0 0 0 0 0
"4417" "FBgn0031372" 0 0 0 0 0 0 0
"4418" "FBgn0031373" 0 0 0 0 0 0 0
"4419" "FBgn0031374" 3089 3912 1761 1642 2187 1122 1133
"4420" "FBgn0031375" 0 1 0 0 0 0 0
"4421" "FBgn0031376" 1725 1920 716 938 1815 842 974
"4422" "FBgn0031377" 641 1052 459 485 746 503 554
"4423" "FBgn0031378" 121 201 67 92 148 97 110
"4424" "FBgn0031379" 1349 1925 662 859 1640 809 954
"4425" "FBgn0031381" 4775 4855 2238 3192 5912 3055 3392
"4426" "FBgn0031384" 99 144 41 61 154 96 69
"4427" "FBgn0031388" 7 10 5 8 10 1 1
"4428" "FBgn0031389" 3621 3666 1113 1542 3642 1065 1076
"4429" "FBgn0031390" 2874 4085 1726 1864 3876 1881 1951
"4430" "FBgn0031391" 284 450 115 144 465 203 180
"4431" "FBgn0031392" 1076 1682 559 611 1495 640 706
"4432" "FBgn0031393" 2 4 2 0 8 2 1
"4433" "FBgn0031395" 656 963 347 388 1042 453 527
"4434" "FBgn0031397" 31 36 20 24 27 11 12
"4435" "FBgn0031398" 105 200 50 75 188 68 96
"4436" "FBgn0031399" 912 1409 553 622 1003 524 605
"4437" "FBgn0031401" 963 1626 520 605 1531 647 746
"4438" "FBgn0031403" 162 275 56 71 315 87 88
"4439" "FBgn0031405" 322 266 118 147 205 105 116
"4440" "FBgn0031406" 0 0 0 0 0 0 0
"4441" "FBgn0031407" 0 0 0 0 0 0 0
"4442" "FBgn0031408" 4356 6718 2500 2827 5542 2954 3101
"4443" "FBgn0031409" 1 0 0 1 0 2 0
"4444" "FBgn0031410" 0 1 0 0 1 0 0
"4445" "FBgn0031412" 0 4 0 6 15 7 8
"4446" "FBgn0031413" 116 199 68 67 149 99 86
"4447" "FBgn0031414" 23 59 31 23 53 31 35
"4448" "FBgn0031417" 2 6 3 4 1 3 3
"4449" "FBgn0031418" 1430 2198 1008 1255 1548 1040 1286
"4450" "FBgn0031419" 41 73 20 24 57 18 17
"4451" "FBgn0031420" 642 1042 447 487 788 473 524
"4452" "FBgn0031421" 312 429 167 187 454 239 283
"4453" "FBgn0031422" 92 75 34 40 133 33 46
"4454" "FBgn0031423" 0 0 0 0 0 0 0
"4455" "FBgn0031424" 1 0 0 0 0 0 0
"4456" "FBgn0031426" 1 2 0 0 0 0 1
"4457" "FBgn0031428" 90 132 53 46 158 56 77
"4458" "FBgn0031429" 9 26 3 5 14 6 7
"4459" "FBgn0031430" 0 0 0 0 0 0 0
"4460" "FBgn0031431" 0 0 0 0 0 0 0
"4461" "FBgn0031432" 3 8 3 4 8 3 5
"4462" "FBgn0031434" 33 68 23 35 53 29 34
"4463" "FBgn0031435" 35 72 18 28 52 41 35
"4464" "FBgn0031436" 662 1055 397 537 983 577 707
"4465" "FBgn0031437" 1114 2002 658 803 1540 767 917
"4466" "FBgn0031440" 0 0 0 0 0 0 0
"4467" "FBgn0031441" 0 0 0 0 0 0 0
"4468" "FBgn0031442" 0 0 0 0 0 0 0
"4469" "FBgn0031443" 0 0 0 0 0 0 0
"4470" "FBgn0031444" 0 0 0 0 0 0 0
"4471" "FBgn0031446" 2 1 1 0 0 1 0
"4472" "FBgn0031449" 1278 2010 767 847 964 485 555
"4473" "FBgn0031450" 1881 2665 1182 1240 2152 1327 1513
"4474" "FBgn0031451" 12 22 6 13 34 17 14
"4475" "FBgn0031452" 437 1250 332 397 856 299 369
"4476" "FBgn0031453" 1643 3148 1181 1313 3925 1318 1384
"4477" "FBgn0031454" 0 0 0 0 0 0 0
"4478" "FBgn0031455" 0 0 0 0 0 0 0
"4479" "FBgn0031456" 536 801 330 387 741 396 434
"4480" "FBgn0031457" 471 896 333 359 802 408 483
"4481" "FBgn0031458" 881 995 375 529 1073 534 587
"4482" "FBgn0031459" 1408 2191 681 940 2093 1237 1223
"4483" "FBgn0031460" 52 60 30 41 84 59 56
"4484" "FBgn0031461" 428 835 313 341 1108 556 536
"4485" "FBgn0031462" 0 0 0 1 1 0 0
"4486" "FBgn0031463" 0 1 0 0 0 0 0
"4487" "FBgn0031464" 34 62 30 31 34 13 12
"4488" "FBgn0031465" 1 3 2 1 1 2 0
"4489" "FBgn0031466" 1 1 4 0 1 3 2
"4490" "FBgn0031467" 3 6 2 5 6 5 5
"4491" "FBgn0031468" 0 12 6 3 3 2 4
"4492" "FBgn0031469" 2 7 0 2 8 2 2
"4493" "FBgn0031470" 302 281 81 133 252 123 126
"4494" "FBgn0031471" 67 51 22 32 41 19 25
"4495" "FBgn0031472" 0 0 0 0 0 0 0
"4496" "FBgn0031473" 2 7 1 2 4 2 4
"4497" "FBgn0031474" 3755 4830 2220 2352 4821 2223 2442
"4498" "FBgn0031476" 18 6 5 5 10 0 5
"4499" "FBgn0031478" 598 1057 325 355 731 326 392
"4500" "FBgn0031479" 347 566 175 227 504 229 268
"4501" "FBgn0031483" 614 1171 396 445 1313 545 595
"4502" "FBgn0031484" 658 1208 314 396 929 384 446
"4503" "FBgn0031485" 278 341 135 196 375 177 205
"4504" "FBgn0031488" 186 347 145 136 337 207 189
"4505" "FBgn0031489" 913 1380 617 707 1924 974 1027
"4506" "FBgn0031490" 897 1371 583 749 1447 880 980
"4507" "FBgn0031491" 736 993 354 462 1026 440 501
"4508" "FBgn0031492" 1117 1829 679 697 1659 757 871
"4509" "FBgn0031493" 1551 2926 985 1176 2464 1100 1285
"4510" "FBgn0031494" 159 181 45 46 242 58 62
"4511" "FBgn0031495" 1278 1594 690 822 1605 885 1072
"4512" "FBgn0031496" 19 32 13 13 36 15 15
"4513" "FBgn0031497" 3753 4801 2239 2651 4924 3078 3345
"4514" "FBgn0031498" 141 262 89 125 265 89 80
"4515" "FBgn0031500" 107 180 58 78 150 95 94
"4516" "FBgn0031501" 3 9 4 3 4 3 3
"4517" "FBgn0031504" 0 1 0 0 0 0 0
"4518" "FBgn0031505" 722 1057 340 557 1370 550 551
"4519" "FBgn0031512" 0 0 0 0 0 0 0
"4520" "FBgn0031513" 12 25 5 3 26 9 5
"4521" "FBgn0031514" 5 8 3 3 7 0 2
"4522" "FBgn0031515" 8 17 8 8 12 5 8
"4523" "FBgn0031516" 630 1306 488 519 1863 840 942
"4524" "FBgn0031517" 4 10 10 4 11 8 2
"4525" "FBgn0031518" 23 22 12 7 37 13 13
"4526" "FBgn0031519" 88 99 26 32 101 50 49
"4527" "FBgn0031520" 1 3 0 0 0 0 0
"4528" "FBgn0031522" 0 0 0 0 1 0 0
"4529" "FBgn0031523" 0 0 1 0 0 0 0
"4530" "FBgn0031526" 0 3 0 1 1 1 0
"4531" "FBgn0031528" 1 2 1 2 10 1 0
"4532" "FBgn0031529" 491 697 258 344 736 343 405
"4533" "FBgn0031530" 117 622 228 232 628 294 362
"4534" "FBgn0031531" 0 0 0 0 0 0 0
"4535" "FBgn0031533" 2 0 0 3 2 1 0
"4536" "FBgn0031534" 1449 2049 720 888 1875 836 853
"4537" "FBgn0031535" 333 595 204 321 472 255 317
"4538" "FBgn0031536" 638 976 329 451 872 409 490
"4539" "FBgn0031537" 626 1060 436 434 958 520 520
"4540" "FBgn0031538" 168 257 108 165 380 225 262
"4541" "FBgn0031540" 327 408 158 175 289 144 137
"4542" "FBgn0031542" 4 2 1 2 3 0 3
"4543" "FBgn0031544" 1835 2663 995 1268 2077 1087 1207
"4544" "FBgn0031545" 2 8 3 0 7 3 4
"4545" "FBgn0031546" 2 8 4 1 3 1 1
"4546" "FBgn0031547" 565 483 186 296 275 89 105
"4547" "FBgn0031548" 123 118 43 56 37 11 20
"4548" "FBgn0031549" 590 1122 348 410 1055 369 410
"4549" "FBgn0031550" 0 1 0 0 0 0 0
"4550" "FBgn0031554" 1 0 0 0 1 0 0
"4551" "FBgn0031558" 0 0 0 0 0 0 0
"4552" "FBgn0031559" 0 0 0 0 1 0 0
"4553" "FBgn0031560" 12 12 4 3 3 0 2
"4554" "FBgn0031561" 9 11 5 3 18 3 1
"4555" "FBgn0031562" 0 0 0 1 0 0 0
"4556" "FBgn0031563" 1 0 0 0 1 1 0
"4557" "FBgn0031564" 1 0 0 0 0 0 0
"4558" "FBgn0031566" 541 899 298 318 962 403 459
"4559" "FBgn0031568" 36 97 30 33 50 18 23
"4560" "FBgn0031571" 43 74 30 27 68 38 25
"4561" "FBgn0031573" 113 246 75 83 203 93 92
"4562" "FBgn0031574" 358 397 164 183 367 183 237
"4563" "FBgn0031575" 433 647 215 252 540 272 267
"4564" "FBgn0031579" 2 3 3 2 4 2 4
"4565" "FBgn0031580" 14 17 8 5 12 6 17
"4566" "FBgn0031581" 14 8 3 6 8 2 6
"4567" "FBgn0031585" 0 0 0 0 0 0 0
"4568" "FBgn0031589" 1816 2635 1063 1120 2749 1244 1429
"4569" "FBgn0031590" 3132 4090 1439 1795 3674 1846 1894
"4570" "FBgn0031591" 0 0 0 0 0 0 0
"4571" "FBgn0031592" 1 2 1 0 0 1 1
"4572" "FBgn0031596" 1 1 0 0 0 0 0
"4573" "FBgn0031597" 142 221 70 79 287 85 81
"4574" "FBgn0031598" 504 744 269 328 795 365 391
"4575" "FBgn0031599" 173 219 79 99 222 97 113
"4576" "FBgn0031600" 466 826 249 345 730 345 365
"4577" "FBgn0031601" 247 257 79 132 323 122 132
"4578" "FBgn0031602" 0 1 1 0 1 1 2
"4579" "FBgn0031603" 153 368 89 108 352 141 148
"4580" "FBgn0031604" 1293 1861 726 867 1672 871 997
"4581" "FBgn0031606" 873 1383 592 634 1245 758 824
"4582" "FBgn0031607" 804 978 459 572 989 533 637
"4583" "FBgn0031608" 180 288 93 127 271 119 171
"4584" "FBgn0031609" 252 331 115 186 366 188 225
"4585" "FBgn0031610" 99 132 53 53 152 55 62
"4586" "FBgn0031611" 323 361 167 184 376 203 257
"4587" "FBgn0031613" 0 0 0 0 5 0 1
"4588" "FBgn0031617" 0 0 0 0 1 0 0
"4589" "FBgn0031619" 0 0 0 0 0 1 0
"4590" "FBgn0031620" 0 12 5 1 12 3 5
"4591" "FBgn0031621" 0 3 0 0 3 2 1
"4592" "FBgn0031622" 7 17 5 12 20 7 9
"4593" "FBgn0031623" 4 3 5 1 12 1 4
"4594" "FBgn0031626" 0 0 0 0 0 0 0
"4595" "FBgn0031627" 3 0 0 0 0 1 0
"4596" "FBgn0031628" 103 146 62 62 146 76 71
"4597" "FBgn0031629" 0 1 1 0 1 0 1
"4598" "FBgn0031630" 6 12 7 7 25 9 9
"4599" "FBgn0031631" 118 216 63 73 190 85 101
"4600" "FBgn0031632" 6 14 4 5 12 0 2
"4601" "FBgn0031633" 1166 1285 582 830 1304 687 836
"4602" "FBgn0031634" 5 7 3 5 18 9 3
"4603" "FBgn0031635" 1041 1235 583 645 1037 680 685
"4604" "FBgn0031636" 1 3 1 2 6 0 5
"4605" "FBgn0031637" 1436 2368 950 1091 1592 856 881
"4606" "FBgn0031638" 397 733 225 266 615 278 300
"4607" "FBgn0031639" 362 401 170 181 415 200 249
"4608" "FBgn0031640" 420 778 297 292 669 256 350
"4609" "FBgn0031643" 1843 3836 1383 1585 3110 1585 1871
"4610" "FBgn0031644" 203 288 119 149 295 175 178
"4611" "FBgn0031645" 384 527 218 253 627 264 270
"4612" "FBgn0031646" 7 18 8 3 10 0 5
"4613" "FBgn0031649" 2 5 1 0 2 2 0
"4614" "FBgn0031650" 7 9 1 7 9 3 4
"4615" "FBgn0031651" 435 773 217 303 701 271 286
"4616" "FBgn0031652" 97 160 59 76 123 66 65
"4617" "FBgn0031653" 1 1 0 0 1 1 1
"4618" "FBgn0031654" 0 0 1 0 0 0 0
"4619" "FBgn0031655" 301 453 129 164 371 173 173
"4620" "FBgn0031656" 364 661 222 263 636 277 301
"4621" "FBgn0031657" 461 509 206 216 469 251 257
"4622" "FBgn0031659" 757 1044 347 502 936 438 500
"4623" "FBgn0031660" 1377 1751 819 1108 2259 1133 1293
"4624" "FBgn0031661" 683 1027 302 385 778 428 475
"4625" "FBgn0031662" 1081 1371 449 614 1262 589 593
"4626" "FBgn0031663" 717 1234 356 493 935 397 533
"4627" "FBgn0031664" 396 711 269 342 703 405 438
"4628" "FBgn0031668" 0 0 0 0 0 0 0
"4629" "FBgn0031670" 1799 2490 800 1139 2304 949 1084
"4630" "FBgn0031673" 1953 2976 1080 1291 2460 1267 1502
"4631" "FBgn0031674" 7 5 1 2 10 2 2
"4632" "FBgn0031675" 38 82 29 33 58 53 51
"4633" "FBgn0031676" 372 455 151 193 477 203 206
"4634" "FBgn0031677" 70 78 14 30 73 27 37
"4635" "FBgn0031678" 1988 3785 1118 1275 3735 1279 1423
"4636" "FBgn0031681" 2946 4452 1614 1633 3715 1596 1697
"4637" "FBgn0031682" 311 527 222 279 492 329 325
"4638" "FBgn0031683" 270 395 158 194 404 167 191
"4639" "FBgn0031684" 520 773 237 351 629 370 371
"4640" "FBgn0031685" 0 1 2 0 2 0 1
"4641" "FBgn0031688" 18 34 6 16 101 40 30
"4642" "FBgn0031689" 260 351 113 137 686 256 319
"4643" "FBgn0031690" 14 18 1 8 17 5 11
"4644" "FBgn0031692" 0 1 0 0 4 1 1
"4645" "FBgn0031693" 216 389 144 134 535 174 179
"4646" "FBgn0031694" 12 29 11 8 38 7 12
"4647" "FBgn0031695" 16 23 7 12 24 6 6
"4648" "FBgn0031696" 1199 1971 723 771 1441 737 796
"4649" "FBgn0031697" 2 5 2 1 4 0 2
"4650" "FBgn0031698" 3483 8107 3118 2850 5383 2912 3027
"4651" "FBgn0031700" 1 1 0 1 0 0 0
"4652" "FBgn0031701" 0 1 0 1 1 1 0
"4653" "FBgn0031702" 0 1 1 0 0 0 1
"4654" "FBgn0031703" 97 256 93 117 63 28 28
"4655" "FBgn0031707" 8 3 2 11 6 4 10
"4656" "FBgn0031708" 277 427 145 162 405 190 218
"4657" "FBgn0031710" 367 724 218 252 666 227 235
"4658" "FBgn0031711" 975 1420 504 637 1188 634 679
"4659" "FBgn0031713" 778 822 387 501 898 599 619
"4660" "FBgn0031715" 0 0 0 0 0 0 0
"4661" "FBgn0031716" 0 1 4 0 0 3 3
"4662" "FBgn0031717" 75 72 37 48 114 36 56
"4663" "FBgn0031718" 0 0 0 1 0 1 0
"4664" "FBgn0031719" 0 0 0 0 0 0 0
"4665" "FBgn0031720" 0 0 0 0 1 0 0
"4666" "FBgn0031721" 0 0 0 0 0 0 0
"4667" "FBgn0031722" 0 0 0 0 0 0 0
"4668" "FBgn0031723" 0 0 0 0 0 0 0
"4669" "FBgn0031724" 0 0 0 0 1 1 0
"4670" "FBgn0031725" 0 0 0 0 0 0 1
"4671" "FBgn0031726" 0 0 0 0 0 0 0
"4672" "FBgn0031728" 0 0 1 1 2 0 0
"4673" "FBgn0031729" 0 0 0 0 0 0 0
"4674" "FBgn0031730" 0 0 0 0 0 0 0
"4675" "FBgn0031731" 0 0 0 0 0 1 0
"4676" "FBgn0031732" 0 3 0 0 0 0 0
"4677" "FBgn0031733" 1 4 0 2 2 0 0
"4678" "FBgn0031734" 5 6 4 4 5 2 1
"4679" "FBgn0031735" 11 7 3 6 12 3 7
"4680" "FBgn0031736" 906 1614 472 603 1241 623 654
"4681" "FBgn0031737" 14 15 6 5 12 7 4
"4682" "FBgn0031738" 834 1715 615 610 1997 897 987
"4683" "FBgn0031739" 206 379 168 160 292 155 175
